Date Reported,Company,Product,Reason,Severity Class,Status,State
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 200 mcg (0.2 mg), packaged in a) 90-count bottles (NDC  16729-457-15) and b) 1000-count bottles (NDC 16729-457-17), Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India.",Subpotent Drug,Class II,Ongoing,NC
20260902,Hikma Pharmaceuticals USA INC.,"Ramipril Capsules USP, 10 mg, packaged in a) 100 Capsules (NDC 76282-673-01) and b) 500 Capsules (NDC 76282-673-05) bottles, Rx only, Manufactured for: Exelan Pharmaceuticals, Inc., Boca Raton, FL 33432, Manufactured by: West-Ward Columbus Inc., Columbus, OH  43228.","Failed Impurities/Degradation Specifications: OOS result obtained for a process impurity, dicyclohexylurea (DCU).",Class II,Ongoing,OH
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 50 mcg (0.05 mg), 1000-count bottles, Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India, NDC 16729-448-17.",Subpotent Drug,Class II,Ongoing,NC
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 125 mcg (0.125 mg), 1000-count bottles, Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India, NDC 16729-453-17.",Subpotent Drug,Class II,Ongoing,NC
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 25 mcg (0.025 mg), 1000-count bottles, Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India, NDC 16729-447-17.",Subpotent Drug,Class II,Ongoing,NC
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 137 mcg (0.137 mg), packaged in a) 90-count bottles (NDC 16729-454-15) b) 1000-count bottles (NDC 16729-454-17), Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India.",Subpotent Drug,Class II,Ongoing,NC
20260902,Lupin Pharmaceuticals Inc.,"Clobetasol Propionate Cream USP, 0.05%, 60 g tube, Rx Only, Manufactured for: Lupin Pharmaceuticals, Inc., Naples, FL 34108, United States, Manufactured by: Lupin Limited, Pithampur (MP) 454 775, INDIA, NDC 68180-956-04.",Failed content uniformity specifications.,Class II,Ongoing,FL
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 300 mcg (0.3 mg), 90-count bottles, Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India, NDC 16729-458-15.",Subpotent Drug,Class II,Ongoing,NC
20260902,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 75 mcg (0.075 mg), 1000-count bottles, Rx Only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: Intas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, India, NDC 16729-449-17.",Subpotent Drug,Class II,Ongoing,NC
20260902,Mallinckrodt Hospital Products Inc.,"Acthar Gel (repository corticotropin injection), 5 mL multiple-dose vial, Rx Only, Mfd. for: Mallinckrodt ARD LLC, Bridgewater, NJ 08807, NDC 63004-8710-1 & NDC 63004-8710-2",Presence of particulate matter: glass and stopper piece,Class II,Ongoing,NJ
