Date Reported,Company,Product,Reason,Severity Class,Status,State
20260909,Baxter Healthcare Corporation,"Clindamycin Injection USP in 5% Dextrose, 900 mg per 50 mL (12 mg/mL) in GALAXY 50 mL Single Dose Container, Rx only, Sterile Nonpyrogenic, Baxter Healthcare Corporation, Deerfield, IL 60015 USA, NDC 0338-3814-50.",CGMP Deviations,Class II,Ongoing,IL
20260909,Baxter Healthcare Corporation,"Vasopressin, in 0.9% Sodium Chloride Injection, 20 units per 100 mL (0.2 units/mL), 100mL Single-Dose Container, Rx only, Sterile, Baxter Healthcare Corporation, Deerfield, IL, 60012 USA, NDC 0338-9640-12.",CGMP Deviations,Class II,Ongoing,IL
20260909,Baxter Healthcare Corporation,"Daptomycin, in 0.9% Sodium Chloride Injection, 1,000 mg per 100 mL (10 mg/mL), 1,000 mg total, in 1000 mL Single Dose Container, Rx only, Sterile Nonpyrogenic, Baxter Healthcare Corporation, Deerfield, IL 60015 USA, NDC 0338-0718-12.",CGMP Deviations,Class II,Ongoing,IL
20260909,Baxter Healthcare Corporation,"CARDENE IV (Nicardipine Hydrochloride) in 0.83% Sodium Chloride Injection, 40 mg in 200 mL (0.2 mg/mL) in GALAXY Single-Dose Container, Manufactured and Marketed by: Baxter Healthcare Corporation, Deerfield, IL 60015 USA, NDC 43066-016-10.",CGMP Deviations,Class II,Ongoing,IL
20260909,"Supernus Pharmaceuticals, Inc.","Trokendi XR, (topiramate) extended-release capsules, 50 mg, 30 Capsules, Rx only, Manufactured by: Catalent Pharma Solutions, Winchester, KY 40391 USA, Manufactured for: Supernus Pharmaceuticals, Inc., Rockville, MD 20850 USA, NDC 17772-102-30.",Failed dissolution specifications.,Class III,Ongoing,MD
20260909,"Teva Pharmaceuticals USA, Inc","traZODone Hydrochloride Tablets, USP, 50 mg, Rx only, 100 Tablets, Manufactured in Croatia By: Pliva Hrvatska d.o.o, Zagreb, Croatia, Manufactured For: Teva Pharmaceuticals, Parsippany, NJ 07054, NDC 50111-560-01",Presence of Foreign Tablets/Capsules,Class II,Ongoing,NJ
20260909,Allies Group Inc.,"THE ONE SPF 50 INVISIBLE SUNSCREEN GEL, (Avobenzone 3%, Homosalate 7%, Octocrylene 10%, Octisalate 5%), 3ml - 0.1 fl. oz, Sachet: Single use only, Made in the U.S.A, Distributed by Allies Group Pte Ltd, Singapore 068914.UPC 8 885014 073293",Subpotent Product: Firm Testing indicated the affected product may not reliably provide the SPF 50 protection stated on the label.,Class II,Ongoing,DE
20260909,Allies Group Inc.,"THE ONE SPF 50 INVISIBLE SUNSCREEN GEL, (Avobenzone 3%, Homosalate 7%, Octocrylene 10%, Octisalate 5%), 90ml - 3 fl. oz. Tube, Made in the U.S.A, Distributed by Allies Group Pte Ltd, Singapore 068914. UPC 8 885014 075853",Subpotent Product: Firm Testing indicated the affected product may not reliably provide the SPF 50 protection stated on the label.,Class II,Ongoing,DE
20260909,Baxter Healthcare Corporation,"Pantoprazole Sodium in 0.9% Sodium Chloride Injection, 80 mg/100 mL (0.8 mg/mL) Single-Dose Infusion Bag in 100 mL GALAXY Container, Rx only, Sterile, Baxter Healthcare Corporation, Deerfield, IL, 60015, USA, NDC 0338-9648-12.",CGMP Deviations,Class II,Ongoing,IL
20260909,Lexia LLC,"Broadway Joe's Pain Cream, (Histamine Dihydrochloride 0.025%), 1500mg CBD Isolate, 1000mg Hempseed oil,  2 oz-jar, Produced for Broadway Joe's, Franklin, TN, 37067, NDC 83088-8120-5, UPC 8 50041 64003 7",CGMP Deviations: Potential contamination of raw material,Class II,Ongoing,TN
